Profit Data for 000 , belowS3 ,3, PP&S1 ,2, R1&PP ,1, R3&R2 ,1, S1&S2 ,1
Loss Data for 000 , belowS3 ,2, R1&PP ,1, R2&R1 ,1, S2&S3 ,1,,
Profit Data for 001 , PP&S1 ,2, S2&S3 ,1,,,,,,
Loss Data for 001 , AboveR3 ,1, PP&S1 ,1,,,,,,
Profit Data for 010 , belowS3 ,1, PP&S1 ,1, R3&R2 ,1, S1&S2 ,1,,
Loss Data for 010 , PP&S1 ,2, R3&R2 ,1,,,,,,
Profit Data for 011 , PP&S1 ,2, S2&S3 ,1,,,,,,
Loss Data for 011 , belowS3 ,1, R3&R2 ,2,,,,,,
Profit Data for 100 , AboveR3 ,1,,,,,,,,
Loss Data for 100 , PP&S1 ,1, S2&S3 ,1,,,,,,
Profit Data for 101 , R3&R2 ,1, S2&S3 ,1,,,,,,
Loss Data for 101 , AboveR3 ,1, R1&PP ,2, R3&R2 ,2,,,,
Profit Data for 110 , belowS3 ,2, R2&R1 ,1, S1&S2 ,1, S2&S3 ,1,,
Loss Data for 110 ,,,,,,,,,,
Profit Data for 111 , AboveR3 ,2, belowS3 ,1, PP&S1 ,1, S2&S3 ,1,,
Loss Data for 111 , R1&PP ,1,,,,,,,,
