"col1","t1","t2","t3","tradevalue","sllow","slhigh","tradecall","sl"
"2020-01-20",1,0,1,"4221","4210","4222",1,"11"
"2020-01-21",0,0,1,"4171","4167","4177",0,"6"
"2020-01-22",0,0,1,"4154","4150","4160",0,"6"
"2020-01-23",0,0,0,"3995","3994","4004",0,"7"
"2020-01-24",0,1,0,"3997","3983","4006",0,"-7"
"2020-01-27",0,0,1,"3804","3800","3861",0,"57"
"2020-01-28",1,1,1,"3813","3793","3815",1,"20"
"2020-01-29",0,0,0,"3878","3876","3889",0,"8"
"2020-01-30",1,0,0,"3800","3792","3804",1,"4"
"2020-01-31",1,0,1,"3832","3754","3834",1,"78"
"2020-02-01",0,1,0,"3697","3685","3750",0,"53"
"2020-02-03",1,0,1,"3717","3689","3718",1,"28"
"2020-02-04",0,0,1,"3634","3622","3635",0,"1"
"2020-02-05",0,1,1,"3608","3604","3615",0,"7"
"2020-02-06",0,1,1,"3725","3710","3730",0,"5"
"2020-02-07",0,0,0,"3668","3664","3688",0,"20"
"2020-02-10",0,1,0,"3622","3618","3628",0,"6"
"2020-02-11",1,0,1,"3607","3598","3608",1,"9"
"2020-02-12",0,0,1,"3638","3635","3644",0,"6"
"2020-02-13",0,1,0,"3693","3691","3700",0,"5"
"2020-02-14",0,0,0,"3702","3700","3720",0,"18"
"2020-02-17",0,1,0,"3749","3746","3770",0,"21"
"2020-02-18",0,0,0,"3718","3716","3760",0,"42"
"2020-02-19",1,0,1,"3792","3745","3798",1,"47"
"2020-02-20",0,1,1,"3863","3855","3867",0,"4"
"2020-02-24",0,1,0,"3758","3750","3827",0,"69"
"2020-02-25",1,1,1,"3726","3699","3728",1,"27"
"2020-02-26",0,1,1,"3624","3616","3645",0,"21"
"2020-02-27",0,0,0,"3448","3446","3530",0,"82"
"2020-02-28",0,0,0,"3308","3299","3324",0,"14"
"2020-03-02",1,1,0,"3346","3326","3362",1,"20"
"2020-03-03",1,0,0,"3493","3449","3510",1,"44"
"2020-03-04",1,1,1,"3539","3478","3542",1,"61"
"2020-03-05",0,0,0,"3492","3492","3505",0,"13"
"2020-03-06",0,0,0,"3367","3363","3424",0,"57"
"2020-03-09",0,0,0,"2496","2496","3130",0,"634"
"2020-03-11",1,1,0,"2613","2563","2649",1,"50"
"2020-03-12",0,1,0,"2360","2333","2440",0,"80"
"2020-03-13",1,1,1,"2374","2320","2374",1,"54"
"2020-03-16",0,1,0,"2318","2312","2342",0,"16"
"2020-03-17",1,0,1,"2235","2213","2237",1,"22"
"2020-03-18",1,1,0,"2008","1998","2036",1,"-4"
"2020-03-19",0,1,1,"1670","1612","1683",0,"12"
"2020-03-20",1,1,0,"2090","2059","2107",1,"31"
"2020-03-23",0,1,1,"1798","1768","1905",0,"107"
"2020-03-24",1,1,1,"1933","1886","1935",1,"47"
"2020-03-25",1,0,1,"1974","1908","1984",1,"66"
"2020-03-26",0,0,0,"1890","1875","1928",0,"38"
"2020-03-27",1,1,0,"1808","1791","1822",1,"17"
"2020-03-30",0,0,0,"1609","1602","1632",0,"23"
"2020-03-31",1,0,0,"1660","1651","1680",1,"6"
"2020-04-01",0,0,0,"1590","1586","1658",0,"68"
"2020-04-03",1,1,1,"1846","1660","1864",1,"186"
